Stephen ,Owens,Cardiology ,stephen.owens@atlgeneral.org,470-658-1002
Amber ,Henry,Cardiology ,amber.henry@atlgeneral.org,470-658-1008
Jill ,Morales,Cardiology ,jill.morales@atlgeneral.org,470-658-1016
Tony ,Tucker,Family Medicine ,tony.tucker@atlgeneral.org,470-658-1003
Andrew ,Black,Family Medicine ,andrew.black@atlgeneral.org,470-658-1007
Sheila ,McDonald,Family Medicine ,sheila.mcdonald@atlgeneral.org,470-658-1012
Andrew ,Cook,Family Medicine ,andrew.cook@atlgeneral.org,470-658-1015
Samantha ,Wade,Neurology ,samantha.wade@atlgeneral.org,470-658-1004
Jeffrey ,Wilson,Neurology ,jeffrey.wilson@atlgeneral.org,470-658-1006
Lisa ,Brooks,Neurology ,lisa.brooks@atlgeneral.org,470-658-1011
Ryan ,Ellis,Orthopedics ,ryan.ellis@atlgeneral.org,470-658-1014
Lori ,Jenkins,Orthopedics ,lori.jenkins@atlgeneral.org,470-658-1019
Jacob ,Martinez,Radiology ,jacob.martinez@atlgeneral.org,470-658-1001
Laura ,Robbins,Radiology ,laura.robbins@atlgeneral.org,470-658-1013
Jason ,Gibson,Urology ,jason.gibson@atlgeneral.org,470-658-1005
Jennifer ,Wells,Urology ,jennifer.wells@atlgeneral.org,470-658-1018
